term,count_early,count_late,count_contemporary,rate_early,rate_late,burst_score,log_odds_late_vs_early
trauma-informed practice,0,14,15,0.16666666666666666,4.833333333333333,3.367295829986474,2.7501944468753656
global health,0,13,14,0.16666666666666666,4.5,3.295836866004329,2.678735482893221
lived experience,0,13,15,0.16666666666666666,4.5,3.295836866004329,2.678735482893221
meaning in life,0,12,12,0.16666666666666666,4.166666666666667,3.218875824868201,2.601774441757093
early -life stress,0,10,10,0.16666666666666666,3.5,3.044522437723423,2.4274210546123145
proactive aggression,0,10,11,0.16666666666666666,3.5,3.044522437723423,2.4274210546123145
procedural justice,0,10,12,0.16666666666666666,3.5,3.044522437723423,2.4274210546123145
teenagers,0,8,11,0.16666666666666666,2.8333333333333335,2.833213344056216,2.216111960945108
environmental factors,0,8,9,0.16666666666666666,2.8333333333333335,2.833213344056216,2.216111960945108
porn,0,8,9,0.16666666666666666,2.8333333333333335,2.833213344056216,2.216111960945108
youth mental health,0,8,9,0.16666666666666666,2.8333333333333335,2.833213344056216,2.216111960945108
cognitive reserve,0,8,9,0.16666666666666666,2.8333333333333335,2.833213344056216,2.216111960945108
sensory processing sensitivity,0,8,8,0.16666666666666666,2.8333333333333335,2.833213344056216,2.216111960945108
comprehensive sexuality education,0,7,7,0.16666666666666666,2.5,2.70805020110221,2.0909488179911015
mental well-being,0,7,7,0.16666666666666666,2.5,2.70805020110221,2.0909488179911015
leukocyte telomere length,0,7,8,0.16666666666666666,2.5,2.70805020110221,2.0909488179911015
college student,0,7,8,0.16666666666666666,2.5,2.70805020110221,2.0909488179911015
imagery,0,7,8,0.16666666666666666,2.5,2.70805020110221,2.0909488179911015
early exposure,0,7,7,0.16666666666666666,2.5,2.70805020110221,2.0909488179911015
discourse analysis,0,7,8,0.16666666666666666,2.5,2.70805020110221,2.0909488179911015
post-traumatic stress symptoms,0,7,10,0.16666666666666666,2.5,2.70805020110221,2.0909488179911015
mental pain,0,7,10,0.16666666666666666,2.5,2.70805020110221,2.0909488179911015
segregation,0,7,9,0.16666666666666666,2.5,2.70805020110221,2.0909488179911015
nonspecific psychotherapy,0,7,9,0.16666666666666666,2.5,2.70805020110221,2.0909488179911015
standards,0,7,8,0.16666666666666666,2.5,2.70805020110221,2.0909488179911015
global flourishing study,0,7,7,0.16666666666666666,2.5,2.70805020110221,2.0909488179911015
concept clarity,0,7,7,0.16666666666666666,2.5,2.70805020110221,2.0909488179911015
sexual education,0,7,7,0.16666666666666666,2.5,2.70805020110221,2.0909488179911015
asylum seekers,0,7,9,0.16666666666666666,2.5,2.70805020110221,2.0909488179911015
bibliometrics,0,7,7,0.16666666666666666,2.5,2.70805020110221,2.0909488179911015
social media addiction,0,7,7,0.16666666666666666,2.5,2.70805020110221,2.0909488179911015
global burden of disease,0,7,8,0.16666666666666666,2.5,2.70805020110221,2.0909488179911015
problematic smartphone use,0,7,8,0.16666666666666666,2.5,2.70805020110221,2.0909488179911015
epigenetic age acceleration,0,7,8,0.16666666666666666,2.5,2.70805020110221,2.0909488179911015
metaverse,0,7,7,0.16666666666666666,2.5,2.70805020110221,2.0909488179911015
