domain,theme,n_documents,prevalence_pct,mean_citations,contemporary_pct,underexplored_flag,gap_priority_rank
method,Participatory & co-design,51,0.25867315885575165,5.294117647058823,92.15686274509804,True,3.5210416850410478
population,Indigenous & ethnic minority children,63,0.31953743152769326,5.984126984126984,80.95238095238095,True,1.946280868019267
method,Machine learning & prediction,118,0.5984986812740921,7.423728813559322,82.20338983050847,True,1.9007696498396083
context,Digital & technology-facilitated harm,272,1.379590180564009,13.819852941176471,86.02941176470588,False,1.8174028831950804
context,Global South & LMIC settings,56,0.2840332724690607,11.464285714285714,75.0,True,1.1622343535270023
mechanism_intervention,Community & policy,167,0.8470277946845202,7.3532934131736525,77.8443113772455,True,1.1139515709796828
mechanism_intervention,Family & parenting programs,64,0.32460945425035503,9.1875,71.875,True,0.7047434022407884
population,LGBTQ+ / gender-diverse youth,222,1.125989044430919,13.914414414414415,71.62162162162163,False,0.0494773218291803
population,Neurodivergent / disabled youth,283,1.4353824305132887,9.522968197879859,71.73144876325088,False,-0.17519412023374772
population,Foster / care-experienced youth,197,0.9991884763643741,8.51776649746193,67.51269035532995,True,-0.41251852463714467
method,Randomized & implementation trials,193,0.9789003854737269,12.740932642487047,66.83937823834196,True,-0.4886033616746921
mechanism_intervention,Cultural & structural determinants,525,2.6628119293974435,12.413333333333334,73.52380952380952,False,-0.8815477191549618
method,Longitudinal & cohort designs,475,2.4092107932643536,11.254736842105263,71.78947368421052,False,-0.921576285633901
context,Justice & forensic systems,481,2.439642929600325,6.261954261954262,70.47817047817048,False,-1.1239308469841183
population,Refugee & migrant children,198,1.0042604990870359,8.868686868686869,61.61616161616162,True,-1.2203790426178833
mechanism_intervention,Prevention & public health,756,3.834449178332319,8.005291005291005,71.42857142857143,False,-2.0747212858226645
context,School & education systems,881,4.468452018665044,8.283768444948922,74.91486946651533,False,-2.0904762477558947
method,Neuroimaging & biomarkers,735,3.727936701156421,12.779591836734694,65.3061224489796,False,-2.8269543001566717
