term,paradigm_presence,triangulated_core
maternal,3,True
suicidal,3,True
ace,3,True
disclosure,3,True
experience,3,True
depression,3,True
self,3,True
relationship,3,True
depressive,3,True
ptsd,3,True
ci,3,True
schizophrenia,2,False
attempt,2,False
psychosis,2,False
mdd,2,False
csa,2,False
intimate partner,2,False
psychotic,2,False
intimate,2,False
satisfaction,2,False
type,2,False
mediate,2,False
woman,2,False
anxiety,2,False
nssi,2,False
severity,2,False
violence,2,False
survivor,2,False
service,2,False
history,2,False
family,2,False
injury,2,False
care,2,False
perpetration,1,False
college,1,False
emotion regulation,1,False
professional,1,False
trait,1,False
caregiver,1,False
ideation,1,False
mistreatment,1,False
style,1,False
domestic,1,False
connectivity,1,False
assault,1,False
dementia,1,False
perpetrator,1,False
dysregulation,1,False
domestic violence,1,False
barrier,1,False
bully,1,False
neural,1,False
incest,1,False
narrative,1,False
harassment,1,False
birth,1,False
coercive,1,False
aggression,1,False
woman experience,1,False
healthcare,1,False
ctq,1,False
eat,1,False
attachment,1,False
subtypes,1,False
cm,1,False
suicide,1,False
eating,1,False
network,1,False
bipolar,1,False
disease,1,False
emotion,1,False
pain,1,False
self compassion,1,False
beta,1,False
insomnia,1,False
compassion,1,False
binge eat,1,False
cortex,1,False
binge,1,False
sibling,1,False
first episode,1,False
negative,1,False
impact,1,False
positive,1,False
adulthood,1,False
episode,1,False
interview,1,False
mother,1,False
based,1,False
gene,1,False
people,1,False
indirect,1,False
developmental,1,False
infant,1,False
onset,1,False
development,1,False
protective,1,False
identify,1,False
distress,1,False
event,1,False
violence woman,1,False
victim,1,False
social,1,False
student,1,False
adverse experience,1,False
adverse,1,False
exposure,1,False
partner,1,False
experience ace,1,False
partner violence,1,False
trauma,1,False
ipv,1,False
support,1,False
knowledge,1,False
self injury,1,False
education,1,False
