Publication Year,topic,count
2020,0,66
2020,1,61
2020,2,72
2020,3,92
2020,4,153
2020,5,103
2020,6,43
2020,7,20
2020,8,124
2020,9,67
2020,10,6
2020,11,132
2020,12,37
2020,13,84
2020,14,263
2020,15,9
2020,16,57
2020,17,15
2020,18,18
2020,19,58
2020,20,11
2020,21,123
2020,22,30
2020,23,4
2020,24,169
2020,25,162
2020,26,172
2020,27,19
2020,28,52
2020,29,148
2020,30,93
2020,31,33
2021,0,74
2021,1,80
2021,2,97
2021,3,94
2021,4,177
2021,5,128
2021,6,65
2021,7,32
2021,8,146
2021,9,103
2021,10,4
2021,11,171
2021,12,47
2021,13,114
2021,14,268
2021,15,17
2021,16,74
2021,17,12
2021,18,21
2021,19,74
2021,20,16
2021,21,130
2021,22,47
2021,23,4
2021,24,269
2021,25,228
2021,26,211
2021,27,16
2021,28,59
2021,29,175
2021,30,130
2021,31,22
2022,0,78
2022,1,99
2022,2,97
2022,3,80
2022,4,202
2022,5,143
2022,6,61
2022,7,32
2022,8,161
2022,9,115
2022,10,6
2022,11,139
2022,12,55
2022,13,108
2022,14,308
2022,15,12
2022,16,74
2022,17,26
2022,18,28
2022,19,87
2022,20,11
2022,21,110
2022,22,49
2022,23,7
2022,24,261
2022,25,275
2022,26,168
2022,27,32
2022,28,61
2022,29,193
2022,30,151
2022,31,37
2023,0,84
2023,1,78
2023,2,98
2023,3,90
2023,4,239
2023,5,135
2023,6,60
2023,7,19
2023,8,159
2023,9,109
2023,10,3
2023,11,153
2023,12,48
2023,13,111
2023,14,311
2023,15,15
2023,16,80
2023,17,23
2023,18,28
2023,19,77
2023,20,15
2023,21,88
2023,22,38
2023,23,6
2023,24,207
2023,25,307
2023,26,178
2023,27,30
2023,28,56
2023,29,206
2023,30,139
2023,31,18
2024,0,75
2024,1,83
2024,2,100
2024,3,99
2024,4,284
2024,5,128
2024,6,83
2024,7,35
2024,8,132
2024,9,131
2024,10,5
2024,11,145
2024,12,60
2024,13,101
2024,14,322
2024,15,17
2024,16,76
2024,17,23
2024,18,33
2024,19,70
2024,20,18
2024,21,86
2024,22,47
2024,23,7
2024,24,199
2024,25,306
2024,26,148
2024,27,32
2024,28,67
2024,29,208
2024,30,153
2024,31,28
2025,0,86
2025,1,73
2025,2,79
2025,3,83
2025,4,391
2025,5,144
2025,6,92
2025,7,24
2025,8,178
2025,9,116
2025,10,23
2025,11,173
2025,12,79
2025,13,93
2025,14,370
2025,15,13
2025,16,116
2025,17,25
2025,18,41
2025,19,87
2025,20,21
2025,21,87
2025,22,49
2025,23,3
2025,24,260
2025,25,384
2025,26,194
2025,27,41
2025,28,82
2025,29,271
2025,30,160
2025,31,37
